"x";"y";"pop"
"779";347128.24045;6790572.95;1
"780";347131.08045;6790162.15;1
"781";347134.05045;6793000.61;3
"782";347147.35045;6789688.33;7
"783";347149.87045;6791760.48;2
"784";347150.67046;6786566.59;4
"785";347156.39045;6790502.46;1
"786";347159.90045;6791806.49;4
"787";347164.01046;6786567.84;2
"788";347164.93045;6790180.8;2
"789";347172.60045;6790423.11;4
"790";347178.22045;6790575.98;4
"791";347181.31045;6789216.71;4
"792";347182.85045;6793524.68;2
"793";347194.92045;6790180.44;5
"794";347201.04046;6786507.6;4
"795";347206.06045;6792801.36;2
"796";347212.01045;6788900.32;2
"797";347215.53045;6788908.62;1
"798";347226.76045;6792804.57;5
"799";347240.34045;6792823.32;2
"800";347241.59045;6790409.88;2
"801";347244.08046;6786454.07;1
"802";347247.82045;6789183.45;3
"803";347249.94046;6787169.45;4
"804";347257.02045;6792726.73;1
"805";347257.09045;6792763.39;2
"806";347264.45045;6792832.17;4
"807";347278.16046;6786558.7;2
"808";347281.83045;6789648.73;3
"809";347285.30045;6792550.65;1
"810";347288.17046;6786423.47;1
"811";347297.14045;6793430.28;4
"812";347300.06045;6793543.52;3
"813";347300.40045;6790938.31;3
"814";347325.24045;6792563.32;1
"815";347352.20045;6789204.58;1
"816";347358.64045;6792185.17;1
"817";347358.79045;6789772.64;2
"818";347363.31046;6786383.79;4
"819";347363.73046;6786543.95;5
